"OIDcom","m_cf_noloss","incap","NZAu_maj","export","bin","TXlength_km","TXcost_maud2021","m_elev","NZAu_site","txAll_aud_kw","TXcost_maud2021_spur","TXcost_maud2021_s2l","spurLength_km","TXspurType","TXspurTypeMax_MW","TXbulkSinkType","SA2oid","lcoe2050_maud2021_mwh"
11770,0.296698792976468,1072.575,"ex-qld",1,4,3.7674484863,29.0688042106415,360.390969162997,"qld-outback",27.1018849130751,29.0688042106415,0,119.416734375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,48.7937931614878
10343,0.283367772406684,1076.79375,"ex-wa",1,4,6.54865625,32.8332885819419,378.871806926814,"wa-north",30.4917154115557,32.8332885819419,0,115.4761953125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,52.4042974734383
8186,0.296339815054089,1080,"ex-wa",1,4,9.2662119141,36.3628720324269,555.590781250001,"wa-central",33.6693259559509,36.3628720324269,0,180.900296875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,50.1586071944297
13246,0.280045920135353,1026.84375,"ex-nt",1,4,10.2687666016,35.6704116801217,368.271815940837,"wa-north",34.7379157540977,35.6704116801217,0,381.75259375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.0944548968296
7117,0.294488788818575,654.75,"ex-wa",1,4,5.3788740234,22.8989750414072,182.486597938144,"wa-central",34.9736159471664,22.8989750414072,0,241.202015625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,50.4781212412536
9544,0.280558098003798,1054.0125,"ex-qld",1,4,11.6543974609,37.884692758586,221.157220621198,"qld-outback",35.9433049974132,37.884692758586,0,84.72453125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,50.6846581272027
9543,0.28250884871183,1070.55,"ex-qld",1,4,13.6011679688,40.8072491339619,217.439155107188,"qld-outback",38.1180226369267,40.8072491339619,0,104.3642265625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,51.420735441309
13245,0.280107685244108,1056.20625,"ex-nt",1,4,12.6106230469,40.3225633060211,360.446077648187,"wa-north",38.1767891508131,40.3225633060211,0,362.12084375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.1360557638569
10344,0.298424514432467,1074.2625,"ex-wa",1,4,13.520296875,41.3697781035244,378.090166509583,"wa-north",38.5099341208731,41.3697781035244,0,134.51553125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,49.8816140585297
12926,0.305234598271285,1079.6625,"ex-nt",1,4,13.6775117188,41.6024211316842,292.551734917162,"nt",38.5328018076799,41.6024211316842,0,67.4933671875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",204,48.7694612027406
8187,0.302907715681939,1080,"ex-wa",1,4,13.2549833984,41.8732772085965,556.231874999999,"wa-central",38.7715529709226,41.8732772085965,0,295.766375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,49.1457343905066
7116,0.298556316562791,689.34375,"ex-wa",1,4,8.9903027344,27.2430502214746,157.157649938801,"wa-central",39.5202686924696,27.2430502214746,0,255.458296875,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,49.858111171723
11771,0.317977138344964,1068.35625,"ex-qld",1,4,15.3606103516,43.248716057321,449.465961143579,"qld-outback",40.4815491623894,43.248716057321,0,104.1232734375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,45.717684532163
7054,0.30008767732341,1068.35625,"ex-qld",1,4,15.3595166016,43.8376509393284,276.435002369294,"qld-outback",41.0328024376966,43.8376509393284,0,352.08184375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",207,49.6420483760376
11667,0.294031336371221,1076.9625,"ex-qld",1,4,16.0211337891,44.4295260077934,337.863209025384,"qld-outback",41.2544782272302,44.4295260077934,0,99.7220078125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,49.452708051395
